1j3preq	frase-parola		田中さんによろしくお伝えください。		Porti tanti saluti a Tanaka da parte mia.	
0j30h1m	frase-parola		奥さんによろしくお伝えください。		Porti i miei saluti a sua moglie.	
14jrczx	frase-parola		あ、電車が 来ました。		Ah, è arrivato il treno!	
085ofht	frase-parola		あ、財布を 忘れました。		Ah! Ho dimenticato il portafoglio.	
1caqyka	frase-parola		朝、先生に あいさつしました。		Stamattina ho salutato l'insegnante.	
0ki51fl	frase-parola		近所の 人に 元気に あいさつしましょう。		Salutiamo con energia i vicini di casa.	
1m0akol	frase-parola		姉はアクセサリーが好きです。		A mia sorella piacciono gli accessori.	
0av2x0h	frase-parola		アクセサリーは あまり つけません。		Non porto quasi mai accessori.	
02w7j97	frase-parola		あなたは時には妹さんにおこづかいをあげますか。		Do you sometimes give your sister money?	
13i4l1k	frase-parola		質問があれば右手を挙げて下さい。		If you have a question, please raise your right hand.	
1g4izd0	frase-parola		アジアの国を旅行したいです。		Vorrei viaggiare nei paesi dell'Asia.	
1xce1ho	frase-parola		にほんは アジアの くにです。		Il Giappone è un paese dell'Asia.	
1qm9a1z	frase-parola		アナウンサーは早口が出来る。		The announcer can talk rapidly.	
1d87vjq	frase-parola		アナウンサーが ニュースを よんで います。		L'annunciatore sta leggendo le notizie.	
01miq5l	frase-parola		私はいつの日かアフリカに行きたい。		I want to go to Africa someday.	
1mb2bi8	frase-parola		アフリカには おおくの くにが あります。		In Africa ci sono molti paesi.	
1ecue5q	frase-parola		アメリカでは英語を話します。		They speak English in America.	
1vukvuv	frase-parola		あには アメリカに りゅうがくして います。		Mio fratello studia negli Stati Uniti.	
0u7orel	frase-parola		このビールはアルコール分が５％だ。		This beer contains 5% alcohol.	
08m0aoy	frase-parola		アルコールは からだに よくないですよ。		L'alcol non fa bene al corpo.	
10ucvrj	frase-parola		あなたはアルバイトをしているの。		Do you have a part-time job?	
1nikr9a	frase-parola		コンビニで アルバイトを して います。		Faccio un part-time al konbini.	
0sj40kx	frase-parola		あんな家に住みたいです。		Vorrei vivere in una casa come quella.	
14t493k	frase-parola		あんな 高い みせには いけません。		In un locale caro come quello non posso andarci.	
0i1n75v	frase-parola		動物をいじめてはいけません。		Non si maltrattano gli animali.	
1n51guw	frase-parola		よわい ひとを いじめるのは ひきょうです。		Fare i prepotenti con i più deboli è da vigliacchi.	
0daa32x	frase-parola		お茶をいただきます。		Prendo volentieri del tè (umile).	
0uzfh7o	frase-parola		せんせいに じしょを いただきました。		Ho ricevuto un dizionario dal professore.	
1un034e	frase-parola		電車は 人で いっぱいでした。		Il treno era pieno di gente.	
1svnn0f	frase-parola		コップに 水を いっぱい 入れました。		Ho riempito il bicchiere d'acqua fino all'orlo.	
1o59dj2	frase-parola		お母さんはいらっしゃいますか。		Is your mother at home?	
02zuqmv	frase-parola		あなたはご両親のどちらに似ていらっしゃいますか。		Which of your parents do you take after?	
1arex8h	frase-parola		うそをつかないでください。		Non dire bugie, per favore.	
1cpc0lg	frase-parola		かれの はなしは うそでした。		Il suo racconto era una bugia.	
